name,award,year,region,dl_profile,double_underscore_content
"Stephenson, Chris",ACM Presidential Award,2016,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100072566,
"Stephenson, Chris",Outstanding Contribution to ACM Award,2018,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100072566,
"Piechurski, Christelle",ACM Gordon Bell Prize,2022,Europe,https://dl.acm.orgN/A,
"Dallago, Christian",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Paulin-Mohring, Christine",ACM Software System Award,2013,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100468825,
"Ueberhuber, Christoph W",ACM Gordon Bell Prize,2006,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332533120,
"Fenton, Christopher H.",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Terai, Christopher R.",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Snyder, Christopher W.",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Guo, Chu",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Fan, Chuchu",ACM Doctoral Dissertation Award,2020,Asia,https://dl.acm.orgN/A,
"Li, Chunggang",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Bohorquez, Cindy Orozco",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Maple, Clair",ACM Distinguished Service Award,1986,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81300190201,
"Moler, Cleve",SIAM/ACM Prize in Computational Science and Engineering,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332516746,
"Skolnick, Cliff",ACM Software System Award,1999,North America,https://dl.acm.orgN/A,
"Young, Cliff",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81408597635,
"Young, Cliff",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81408597635,
"He, Conghui",ACM Gordon Bell Prize,2017,Asia,https://dl.acm.orgN/A,
"Clevenger, Conrad",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Hillairet, Conrad",ACM Gordon Bell Prize,2022,Europe,https://dl.acm.orgN/A,
"Daskalakis, Constantinos",ACM Doctoral Dissertation Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81314481488,
"Daskalakis, Constantinos",ACM Grace Murray Hopper Award,2018,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81314481488,
"Green, Cordell",ACM Grace Murray Hopper Award,1985,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100201438,
"Cortes, Corinna",ACM Paris Kanellakis Theory and Practice Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332494270,
"Bekas, Costas",ACM Gordon Bell Prize,2013,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81371594743,
"Bekas, Costas",ACM Gordon Bell Prize,2015,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81371594743,
"Gentry, Craig",ACM Doctoral Dissertation Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81340489302,
"Gentry, Craig",ACM Grace Murray Hopper Award,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81340489302,
"Jawahar, Cv",ACM India Outstanding Contribution to Computing Education Award,2021,Asia,https://dl.acm.orgN/A,
"Dwork, Cynthia",ACM Paris Kanellakis Theory and Practice Award,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100183784,
"Takahashi, Daisuke",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100490997,
"Yang, Daisy",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Peng, Dajia",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Avila, Damian",ACM Software System Award,2017,Latin America,https://dl.acm.orgN/A,
"Boneh, Dan",ACM Prize in Computing,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100047204,
"Scott, Dana S",ACM A. M. Turing Award,1976,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100545006,
